date,governorate,n_infected,n_recovered,n_dead
"00:45, 23 April 2020",Le Kef,5,TBA,1
"00:45, 23 April 2020",Sidi Bouzid,5,TBA,1
"14:03, 22 April 2020",Kasserine,5,TBA,0
"14:03, 22 April 2020",Tozeur,5,TBA,0
"04:52, 23 April 2020",Gabès,22,TBA,0
"04:52, 23 April 2020",Bizerte,19,TBA,1
"22:03, 20 April 2020",Gabès,21,TBA,0
"22:03, 20 April 2020",Bizerte,18,TBA,1
"22:02, 20 April 2020",Mahdia,13,TBA,1
"22:02, 20 April 2020",Nabeul,12,TBA,1
"00:45, 23 April 2020",Kasserine,5,TBA,0
"00:45, 23 April 2020",Tozeur,5,TBA,0
"00:45, 23 April 2020",Béja,3,TBA,0
"14:03, 22 April 2020",Béja,3,TBA,0
"14:03, 22 April 2020",Zaghouan,3,TBA,0
"04:52, 23 April 2020",Mahdia,16,TBA,1
"04:52, 23 April 2020",Nabeul,12,TBA,1
"22:03, 20 April 2020",Mahdia,15,TBA,1
"22:03, 20 April 2020",Nabeul,12,TBA,1
"22:02, 20 April 2020",Kairouan,6,TBA,0
"22:02, 20 April 2020",Le Kef,5,TBA,1
"00:45, 23 April 2020",Zaghouan,3,TBA,0
"00:45, 23 April 2020",Jendouba,1,TBA,0
"00:45, 23 April 2020",Siliana,1,TBA,0
"14:03, 22 April 2020",Jendouba,1,TBA,0
"14:03, 22 April 2020",Siliana,1,TBA,0
"04:52, 23 April 2020",Kairouan,6,TBA,0
"04:52, 23 April 2020",Le Kef,5,TBA,1
"22:03, 20 April 2020",Kairouan,6,TBA,0
"22:03, 20 April 2020",Le Kef,5,TBA,1
"22:02, 20 April 2020",Sidi Bouzid,5,TBA,1
"22:02, 20 April 2020",Kasserine,5,TBA,0
"04:52, 23 April 2020",Sidi Bouzid,5,TBA,1
"04:52, 23 April 2020",Kasserine,5,TBA,0
"22:03, 20 April 2020",Sidi Bouzid,5,TBA,1
"22:03, 20 April 2020",Kasserine,5,TBA,0
"22:02, 20 April 2020",Tozeur,5,TBA,0
"22:02, 20 April 2020",Béja,3,TBA,0
"04:52, 23 April 2020",Tozeur,5,TBA,0
"04:52, 23 April 2020",Béja,3,TBA,0
"22:03, 20 April 2020",Tozeur,5,TBA,0
"22:03, 20 April 2020",Béja,3,TBA,0
"22:03, 20 April 2020",Zaghouan,3,TBA,0
"22:02, 20 April 2020",Zaghouan,3,TBA,0
"22:02, 20 April 2020",Jendouba,1,TBA,0
"22:02, 20 April 2020",Siliana,1,TBA,0
"04:52, 23 April 2020",Zaghouan,3,TBA,0
"04:52, 23 April 2020",Jendouba,1,TBA,0
"22:03, 20 April 2020",Jendouba,1,TBA,0
"22:03, 20 April 2020",Siliana,1,TBA,0
"04:52, 23 April 2020",Siliana,1,TBA,0
"04:00, 24 April 2020",Tunis,199,TBA,6
"04:00, 24 April 2020",Ariana,94,TBA,5
"04:00, 24 April 2020",Ben Arous,91,TBA,3
"04:00, 24 April 2020",Médenine,86,TBA,3
"04:00, 24 April 2020",Kébili,85,TBA,0
"04:00, 24 April 2020",Sousse,78,TBA,5
"04:00, 24 April 2020",Manouba,39,TBA,5
"04:00, 24 April 2020",Gafsa,38,TBA,0
"04:00, 24 April 2020",Monastir,37,TBA,0
"04:00, 24 April 2020",Sfax,36,TBA,5
"04:00, 24 April 2020",Tataouine,32,TBA,1
"04:00, 24 April 2020",Gabès,22,TBA,0
"04:00, 24 April 2020",Bizerte,19,TBA,1
"04:00, 24 April 2020",Mahdia,15,TBA,1
